Annotation Cluster 1	Enrichment Score: 10.096337286188458
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0044265~cellular macromolecule catabolic process	32	55.172413793103445	1.0405011848488096E-17	YDL147W, YBL084C, YNL172W, YLR127C, YCR077C, YDL097C, YLR421C, YER146W, YHR027C, YIL075C, YFR004W, YHR166C, YDR118W, YKL022C, YGL240W, YOR249C, YER021W, YDL008W, YER112W, YBL026W, YNL147W, YLR438C-A, YKL145W, YOR261C, YLR102C, YHR200W, YDR394W, YGL048C, YOL149W, YDR378C, YJL124C, YFR036W	58	475	4970	5.772776769509981	3.568919064031417E-15	1.1896396880104723E-15	1.4187968923022431E-14
GOTERM_BP_ALL	GO:0006511~ubiquitin-dependent protein catabolic process	23	39.6551724137931	1.110036124182364E-17	YDL147W, YGL240W, YBL084C, YNL172W, YOR249C, YER021W, YDL008W, YLR127C, YDL097C, YLR421C, YKL145W, YHR027C, YLR102C, YOR261C, YHR200W, YIL075C, YDR394W, YFR004W, YGL048C, YHR166C, YDR118W, YFR036W, YKL022C	58	185	4970	10.653308480894689	3.807423905945509E-15	9.518559764863772E-16	1.513612695752969E-14
GOTERM_BP_ALL	GO:0009057~macromolecule catabolic process	32	55.172413793103445	3.676546879131258E-17	YDL147W, YBL084C, YNL172W, YLR127C, YCR077C, YDL097C, YLR421C, YER146W, YHR027C, YIL075C, YFR004W, YHR166C, YDR118W, YKL022C, YGL240W, YOR249C, YER021W, YDL008W, YER112W, YBL026W, YNL147W, YLR438C-A, YKL145W, YOR261C, YLR102C, YHR200W, YDR394W, YGL048C, YOL149W, YDR378C, YJL124C, YFR036W	58	496	4970	5.528364849833148	1.2610555795420215E-14	2.1017592992367023E-15	5.01323147197847E-14
GOTERM_CC_ALL	GO:0022624~proteasome accessory complex	12	20.689655172413794	9.533845813935238E-17	YDL147W, YLR421C, YER021W, YKL145W, YHR027C, YHR200W, YOR261C, YDR394W, YIL075C, YGL048C, YFR004W, YDL097C	58	24	5615	48.4051724137931	1.0547118733938987E-14	9.992007221626409E-16	1.2212453270876722E-13
GOTERM_CC_ALL	GO:0005838~proteasome regulatory particle	12	20.689655172413794	9.533845813935238E-17	YDL147W, YLR421C, YER021W, YKL145W, YHR027C, YHR200W, YOR261C, YDR394W, YIL075C, YGL048C, YFR004W, YDL097C	58	24	5615	48.4051724137931	1.0547118733938987E-14	9.992007221626409E-16	1.2212453270876722E-13
GOTERM_BP_ALL	GO:0019941~modification-dependent protein catabolic process	23	39.6551724137931	2.8050353746020098E-15	YDL147W, YGL240W, YBL084C, YNL172W, YOR249C, YER021W, YDL008W, YLR127C, YDL097C, YLR421C, YKL145W, YHR027C, YLR102C, YOR261C, YHR200W, YIL075C, YDR394W, YFR004W, YGL048C, YHR166C, YDR118W, YFR036W, YKL022C	58	238	4970	8.280933062880326	9.520162436160717E-13	9.514611321037592E-14	3.785860513971784E-12
GOTERM_BP_ALL	GO:0051603~proteolysis involved in cellular protein catabolic process	23	39.6551724137931	6.1202246230084156E-15	YDL147W, YGL240W, YBL084C, YNL172W, YOR249C, YER021W, YDL008W, YLR127C, YDL097C, YLR421C, YKL145W, YHR027C, YLR102C, YOR261C, YHR200W, YIL075C, YDR394W, YFR004W, YGL048C, YHR166C, YDR118W, YFR036W, YKL022C	58	247	4970	7.9791986597794216	2.094435735955358E-12	1.6109336087311021E-13	8.326672684688674E-12
GOTERM_BP_ALL	GO:0043632~modification-dependent macromolecule catabolic process	23	39.6551724137931	1.3078740767766631E-14	YDL147W, YGL240W, YBL084C, YNL172W, YOR249C, YER021W, YDL008W, YLR127C, YDL097C, YLR421C, YKL145W, YHR027C, YLR102C, YOR261C, YHR200W, YIL075C, YDR394W, YFR004W, YGL048C, YHR166C, YDR118W, YFR036W, YKL022C	58	256	4970	7.6986799568965525	4.4935166698678586E-12	2.9953817204386723E-13	1.786348846621877E-11
GOTERM_CC_ALL	GO:0031597~cytosolic proteasome complex	11	18.96551724137931	1.30695008616825E-13	YDL147W, YLR421C, YER021W, YKL145W, YHR027C, YHR200W, YOR261C, YIL075C, YGL048C, YFR004W, YDL097C	58	30	5615	35.497126436781606	1.2413958749846188E-11	7.758238496080594E-13	1.4364065492600275E-10
GOTERM_CC_ALL	GO:0034515~proteasome storage granule	11	18.96551724137931	1.30695008616825E-13	YDL147W, YLR421C, YER021W, YKL145W, YHR027C, YHR200W, YOR261C, YIL075C, YGL048C, YFR004W, YDL097C	58	30	5615	35.497126436781606	1.2413958749846188E-11	7.758238496080594E-13	1.4364065492600275E-10
GOTERM_BP_ALL	GO:0044248~cellular catabolic process	32	55.172413793103445	6.140438643872233E-13	YDL147W, YBL084C, YNL172W, YLR127C, YCR077C, YDL097C, YLR421C, YER146W, YHR027C, YIL075C, YFR004W, YHR166C, YDR118W, YKL022C, YGL240W, YOR249C, YER021W, YDL008W, YER112W, YBL026W, YNL147W, YLR438C-A, YKL145W, YOR261C, YLR102C, YHR200W, YDR394W, YGL048C, YOL149W, YDR378C, YJL124C, YFR036W	58	696	4970	3.939754260800634	2.106240737376197E-10	1.1085465878579726E-11	8.373191029420468E-10
GOTERM_CC_ALL	GO:0000502~proteasome complex	12	20.689655172413794	1.1822293292468058E-12	YDL147W, YLR421C, YER021W, YKL145W, YHR027C, YHR200W, YOR261C, YDR394W, YIL075C, YGL048C, YFR004W, YDL097C	58	50	5615	23.23448275862069	1.1231626739771627E-10	5.911382494616646E-12	1.2995604592447307E-9
GOTERM_BP_ALL	GO:0044257~cellular protein catabolic process	23	39.6551724137931	8.875546952975177E-12	YDL147W, YGL240W, YBL084C, YNL172W, YOR249C, YER021W, YDL008W, YLR127C, YDL097C, YLR421C, YKL145W, YHR027C, YLR102C, YOR261C, YHR200W, YIL075C, YDR394W, YFR004W, YGL048C, YHR166C, YDR118W, YFR036W, YKL022C	58	351	4970	5.614991649474408	3.0443194631857295E-9	1.4496759348503474E-10	1.2102463475827108E-8
GOTERM_CC_ALL	GO:0008541~proteasome regulatory particle, lid subcomplex	8	13.793103448275861	1.2443843457237522E-11	YDL147W, YLR421C, YER021W, YKL145W, YOR261C, YDR394W, YFR004W, YDL097C	58	13	5615	59.57559681697613	1.1821632561748174E-9	5.3734683369555114E-11	1.3678314036980055E-8
GOTERM_BP_ALL	GO:0030163~protein catabolic process	23	39.6551724137931	1.8430272426322154E-11	YDL147W, YGL240W, YBL084C, YNL172W, YOR249C, YER021W, YDL008W, YLR127C, YDL097C, YLR421C, YKL145W, YHR027C, YLR102C, YOR261C, YHR200W, YIL075C, YDR394W, YFR004W, YGL048C, YHR166C, YDR118W, YFR036W, YKL022C	58	364	4970	5.414456233421751	6.3215782608594395E-9	2.6339908032468884E-10	2.5130952874263812E-8
